Name,Artist,Topic,Lyrics
Reagan,Killer Mike,Racism,"Our government has a firm policy not to capitulate to terrorist demands That no-concessions policy remains in force Despite the wildly speculative and false stories about arms for hostages And alleged ransom payments, we did not, repeat Did not trade weapons or anything else for hostages, nor will we The ballot or the bullet, some freedom or some bullshit Will we ever do it big, or just keep settlin' for li'l shit? We brag on having bread, but none of us are bakers We all talk having greens, but none of us own acres If none of us own acres, and none of us grow wheat Then who will feed our people when our people need to eat? So it seems our people starve from lack of understanding 'Cause all we seem to give them is some ballin' and some dancin' And some talkin' about our car and imaginary mansions We should be indicted for bullshit we inciting Handin' children death and pretendin' it's excitin' We are advertisements for agony and pain We exploit the youth, we tell them to join a gang We tell them dope stories, introduce them to the game Just like Oliver North introduced us to cocaine In the 80s when the bricks came on military planes A few months ago, I told the American people I did not trade arms for hostages My heart and my best intentions still tell me that's true But the facts and the evidence tell me it is not The end of the Reagan Era, I'm like 'leven, twelve, or Old enough to understand that shit'd changed forever They declared the war on drugs, like a war on terror But what it really did was let the police terrorize whoever But mostly black boys, but they would call us ""niggers"" And lay us on our belly, while they fingers on they triggers They boots was on our head, they dogs was on our crotches And they would beat us up if we had diamonds on our watches And they would take our drugs and moneys, as they pick our pockets I guess that that's the privilege of policin' for some profits But thanks to Reaganomics, prison turned to profits 'Cause free labor's the cornerstone of US economics 'Cause slavery was abolished, unless you are in prison You think I am bullshittin', then read the 13th Amendment Involuntary servitude and slavery it prohibits That's why they givin' drug offenders time in double digits Ronald Reagan was a actor, not at all a factor Just an employee of the country's real masters Just like the Bushes, Clinton, and Obama Just another talking head telling lies on teleprompters If you don't believe the theory, then argue with this logic Why did Reagan and Obama both go after Qaddafi? We invaded sovereign soil, going after oil Taking countries is a hobby paid for by the oil lobby Same as in Iraq and Afghanistan And Ahmadinejad say they coming for Iran They only love the rich, and how they loathe the poor If I say any more they might be at my door (Shh...) Who the fuck is that staring in my window? Doing that surveillance on Mr. Michael Render I'm dropping off the grid before they pump the lead I leave you with four words: I'm glad Reagan dead Ronald Wilson Reagan Ronald Wilson Reagan Ronald (6) Wilson (6) Reagan (6) Ronald (6) Wilson (6) Reagan (666)"
The Point of No Return,Geto Boys,Racism,"What if I learn to work your beat And fuck with you in the ways that you fuck with me And underline all y'all downfalls for ya Catch you fuckin' up and bring the pound down on ya Infect your neighbborhood with this drug called hate Ish out your income and control y'all fate Provide you motherfuckers with this shit that look cool And price it outta range to keep your ass outta school You don't work you don't eat you don't eat you don't sleep And then I got your ass upon these motherfuckin' streets Poising your own breed turning you from Jesus Get you out your faith and hit your ass with diseases And now you can't reproduce there goes your children Don't worry about you dying slow I'm a get to killin' And shot up your motherfuckin' dreams fromt he jump And hold you in the penitentiary like a punk But you can't do shit unless a motherfucker tell ya You ain't a motherfuckin' man niggayous a failure You wonder why I hate cha and I paint this picture? Cause the government is fucked up and I ain't that nigga So you can point the fingers at the motherfuckin' press Cause they be feeding me with all the shit that I address It ain't my motherfuckin' fault niggas ain't learnin' We in too deep and ain't no returnin' Willie D: Willie D is my motherfuckin' name Lettin' you hoes know is my motherfuckin' game You got a problem with the way I drop my bloww Bring it to the G to the motherfuckin' E to the O I'm a let you hoes know the deal You can't FUCK with Will, Face and Bill I got niggas fully strapped with lots of nuts And niggas in the back of ridah trucks Do I give a fuck about America? (FUCK NO!) Call me a patriot bitch I'm a buck yo, ass Right up your motherfuckin' shit creek She got some negativity with Willie D Well then let the bitch be Scarface: In the beginning motherfuckers pack straps Puttin' they eyes on any motherfuckers back You got out of line they hit your ass with the gat Let you die where you lay and left your ass for the rats that's how it was and I can see it all again motherfuckers goin' crazy Like they did when I was ten I'm goin' through the same shit that my daddy went through when he was 22 Now who, the fuck to blame for the condition that we in Pursue the game or end up back up off my shit again It's kind of easy how we make your choice We go to ghetto tactic labratorites providing ? Well anyways that's how I seen it then But now I realize white collar criminals had to bring it in And now I go against my own kind With the mentallity that these niggas been after me a long time And if I'm caught up then I'm OUTTA HERE But if you caught up you outta here And then you wonder what we learned while we've been trapped here We figured out how to adapt here Willie D: Edgar Hoovar I wwish you wasn't dead So I could put a bullet in your motherfuckin' head Goddamn faggot motherfuckin' drag queen I know you put the hit on Martin Luther King And Fred Hampton, Malcom and the others You red neck punk motherfucker Bob Dole keep you motherfuckin' mouth shut Before a nigga beat your old ass up Jumpin' on the rap bandwagon ain't helpin' it You need to be concerned about the motherfuckin' deficit I'm the type of nigga throw a party when the flag burn I'm at the point of no return"
Sound of Da Police,KRS-One,Racism,"Woop-woop! That's the sound of da police! That's the sound of the beast! Stand clear! Don man a-talk You can't stand where I stand, you can't walk where I walk Watch out! We run New York Police man come, we bust him out the park I know this for a fact, you don't like how I act You claim I'm sellin' crack But you be doin' that I'd rather say ""see ya"" Cause I would never be ya Be a officer? You wicked overseer! Ya hotshot, want to get props and be a savior First show a little respect, change your behavior Change your attitude, change your plan There could never really be justice on stolen land Are you really for peace and equality? Or when my car is hooked up, you know you want to follow me Your laws are minimal Cause you won't even think about lookin' at the real criminal This has got to cease Cause we be getting hyped to the sound of da police! Woop-woop! That's the sound of da police! That's the sound of the beast! Now here's a likkle truth Open up your eye While you're checking out the boom-bap, check the exercise Take the word ""overseer, "" like a sample Repeat it very quickly in a crew for example Overseer Overseer Overseer Overseer Officer, Officer, Officer, Officer! Yeah, officer from overseer You need a little clarity? Check the similarity! The overseer rode around the plantation The officer is off patrolling all the nation The overseer could stop you what you're doing The officer will pull you over just when he's pursuing The overseer had the right to get ill And if you fought back, the overseer had the right to kill The officer has the right to arrest And if you fight back they put a hole in your chest! (Woop!) They both ride horses After 400 years, I've got no choices! The police them have a little gun So when I'm on the streets, I walk around with a bigger one (Woop-woop!) I hear it all day Just so they can run the light and be upon their way Woop-woop! That's the sound of da police! That's the sound of the beast! Check out the message in a rough stylee The real criminals are the see-O-P You check for undercover and the one PD But just a mere Black man, them want check me Them check out me car for it shine like the sun But them jealous or them vexed cause them can't afford one Black people still slaves up til today But the Black police officer nah see it that way Him want a salary Him want it So he put on a badge and kill people for it My grandfather had to deal with the cops My great-grandfather dealt with the cops My great grandfather had to deal with the cops And then my great, great, great, great, when it's gonna stop?! Woop-woop! That's the sound of da police! That's the sound of the beast!"
Mathematics,Mos Def,Racism,"Yo, check it one for Charlie Hustle, two for Steady Rock Three for the fourth coming live, future shock It's five dimensions, six senses Seven firmaments of heaven to hell, 8 Million Stories to tell Nine planets faithfully keep in orbit With the probable tenth, the universe expands length The body of my text posses extra strength Power-lifting powerless up, out of this, towering inferno My ink so hot it burn through the journal I'm blacker than midnight on Broadway and Myrtle Hip-Hop past all your tall social hurdles Like the nationwide projects, prison-industry complex Working class poor better keep your alarm set Streets too loud to ever hear freedom ring Say evacuate your sleep, it's dangerous to dream But you chain cats get they CHA-POW, who dead now Killing fields need blood to graze the cash cow It's a number game, but shit don't add up somehow Like I got, sixteen to thirty-two bars to rock it But only 15% of profits, ever see my pockets like Sixty-nine billion in the last twenty years Spent on national defense but folks still live in fear like Nearly half of America's largest cities is one-quarter black That's why they gave Ricky Ross all the crack Sixteen ounces to a pound, twenty more to a ki A five minute sentence hearing and you no longer free 40% of Americans own a cell phone So they can hear, everything that you say when you ain't home I guess, Michael Jackson was right, ""You Are Not Alone"" Rock your hardhat black cause you in the Terrordome Full of hard niggas, large niggas, dice tumblers Young teens and prison greens facing life numbers Crack mothers, crack babies and AIDS patients Young bloods can't spell but they could rock you in PlayStation This new math is whipping motherfuckers ass You wanna know how to rhyme you better learn how to add It's mathematics ""The Mighty Mos Def"" ""It's simple mathematics"" ""Check it out!"" ""I revolve around science"" ""What are we talking about here?"" ""The Mighty Mos Def"" ""It's simple mathematics"" ""Check it out!"" ""I revolve around science"" ""What are we talking about here?"" ""Do your math"" (Repeat: x2) ""One.. t-t-two.. three, four"" ""What are we talking about here?"" Yo, it's one universal law but two sides to every story Three strikes and you be in for life, mandatory Four MC's murdered in the last four years I ain't trying to be the fifth one, the millennium is here Yo it's 6 Million Ways to Die, from the seven deadly thrills Eight-year olds getting found with 9 mill's It's 10 P.M., where your seeds at? What's the deal He on the hill puffin krill to keep they belly filled Light in the ass with heavy steel, sights on the pretty shit in life Young soldiers trying to earn they next stripe When the average minimum wage is $5.15 You best believe you gotta find a new ground to get cream The white unemployment rate, is nearly more than triple for black So front liners got they gun in your back Bubbling crack, jewel theft and robbery to combat poverty And end up in the global jail economy Stiffer stipulations attached to each sentence Budget cutbacks but increased police presence And even if you get out of prison still living Join the other five million under state supervision This is business, no faces just lines and statistics From your phone, your zip code, to S-S-I digits The system break man child and women into figures Two columns for who is, and who ain't niggas Numbers is hardly real and they never have feelings But you push too hard, even numbers got limits Why did one straw break the camel's back? Here's the secret The million other straws underneath it, it's all mathematics"
Sunshine,Pusha T,Racism,"I say hey, sunshine Oh how the day can be so long I say hey, sunshine Oh how the day can be so long America, you need a miracle Beyond spiritual I need a realer view I hold a mirror to it These ain't new problems, they just old ways I see one time turn sunshine into Freddie Gray Just another nigga dead, just another nigga dead Send another to the FEDs, send another to the FEDs Not guilty, still I'm filthy In FOX eyes, we the dark side So they tell you lies Through a TV, C-N-B-C C-N-N, Don Lemon, no Kweli when you meet me In order to be me You gotta see what Chief Keef see Brenda's baby next door to the candy lady Same project as Candy Man where they still doing hand-in-hands Sunday to Sunday, pastor only want one day Grandma praying someday But God can't hear it over gun play Woo! Still a target, but the badge is the new noose Yeah, we all see it, but cellphones ain't enough proof So we still lose I say hey, sunshine Oh how the day can be so long I say hey, sunshine Oh how the day can be so long I don't got no march in me, I can't turn the other cheek While they testing your patience, they just testing my reach Funeral flowers, every 28 hours Being laid over ours Sworn to protect and serve, but who really got the power? Looking over their allowances Building prisons where the mountains is Laptops is for the county kids Metal detectors is where ours is They'll never re-write this, like they re-wrote history The fact that the Statue of Liberty was black is a goddamn mystery And so it goes, every truth don't get told All these cops get cleared, and lives are stole Every goose don't lay gold whoa Just another nigga dead, just another nigga dead Send another to the FEDs, send another to the FEDs They call in the National Guard Public Enemy, I am Chuck D Flavor Flav in Louis V, but I'm Huey P Woo! The new elite, it's either you or me Let the sunshine, cause their dark clouds try to ruin me It's more and more and more than Baltimore From shore to shore, oh lord Patience torn, patience gone, oh lord I say hey, sunshine Oh how the day can be so long I say hey, sunshine Oh how the day can be so long"
Dont Shoot,Dave East,Racism,"I asked my cousin why they pulled him over He gave me a look as if he didn't know I had my basketball and my now and laters Ain't get along with my neighbors, I was a rough kid Hearing sirens through my window Them blue and red lights kept me up at night I couldn't get enough of life I seen this kid get arrested in the park He was screaming he ain't do it They ain't even let him talk I ain't understand I'm like 10 blowing in the wind Tryna find a park to go play, I don't know the drama I ask my mama what do police do? She told me stay up out they way Go to school and get good grades One day I'm walking in my building and they stopped me Told me I looked just like this kid that did a robbery And I ain't never stole nothing in my life Maybe candy out the store or a bag of chips Imagine this, years go by, I got a little older My best friends in group homes, I got a little colder I'm tryna make the varsity team, chill with Stacy and Shop at the mall, only Ralph Lauren they'll lace me in I had the Moncler, remember begging moms for it Walking home from school, I almost got robbed for it I took off, I can't go home without my jacket on Blue and whites harassing me but I don't know what happened to 'em Left and right I'm seeing homies get interrogated We ain't safe where we live, this America ain't it? High School they teaching me this the land of the free But everything got a price, they don't answer to me They don't answer to us, we getting tattoos They think we criminals cause we believe that cash rules Attitude a little different when you from the gutter I seen a cop talk crazy to my mother My father familiar, he told me all about 'em Told me never go around and avoid 'em, that's if you can Black intelligent man they worst nightmare They'd rather have you in prison forever, they don't fight fair Starting to think about college, I got some scholarships I just graduated, two cops pulled me over Tried to show my diploma, they ain't acknowledge it Three young black males riding in the jeep Bout to go to college, they thinking we in the street They hate got a little bit deeper, I'm getting frustrated A bunch of slick comments, I'm still a nigga Even if you got millions, they still'll get ya I played ball, I was the man on campus Little weed up in my dorm, I got ran off campus Then I got locked up, minor bid, it was short Staring at my mother crying up in court Came home, I started rapping, had to trap first Phone ringing all night, was tryna take a nap first Gang squad hopping out, narcotics watching We had the weed and the pills then we got it rocking Cameras in the projects helped us move smarter Niggas turned butch building into the new carter Pooch did a bid and came home the same nigga Bully did a bid and came home the same nigga My moms working all night, I had late dinners Went broke tryna cope a coat, that made me hate winter Focused up, got a deal, now this shit is real Every time I leave the club, they hope I got the steel We just got some weed, we just tryna chill We just tryna eat, we just tryna build They follow every car I try to ride in I'm just praying this ain't the car that I die in I guess with this hoodie on I'm a murderer I'm just tryna buy my mother some new furniture This attitude is programmed Imagine getting harassed for you whole life All day and the whole night They say prison is the new slave ship They don't understand we hustling so we can pay rent Soon as they come around it feel like your luck gone They gotta show you they power, that's why they put the cuffs on Ain't no more weed in the car sir, the blunt gone I got my hands ups, officer what's the problem? Please don't shoot me sir, I just had a daughter Look here go a"
Hands up,Vince Staples,Racism,"North Division tryina stop my blackness I'm watchin' for them badges when out in traffic Them 9-11's been a tad bit frantic If lights start flashin', please don't panic The DEA givin' out gang enhancements Can barely even hang to build a case off cameras CCAT trackin' criminal patterns Trickin' niggas into takin' strikes to get out faster Freedom bribery nigga, 'cause we hardly acquit Social media that leave the flash photography snitchin' Blame geography nigga, for the pride in these niggas Take you when they fingerprint you, now you part of the system This was all apart of Huey P. and Bobby prediction Makin' profit off of violence, they arousin' attention Leaders risin' lead the twenty-five to life in the prison Better watch it, 'cause I know they got a spot for you nigga Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Nigga freeze, put your hands in the air Deangelo Lopez and Tyler Woods Just a couple they gunned down around the hood I guess the pigs split wigs for the greater good 'Cause I ain't seen them lock a swine up yet At the most they re-assign 'em to prevent protest Just your color is enough to get you under arrest Strong hand to the law got me feelin' oppressed If you flippin', kill a 50, then you get in a chair Payin' taxes for some fuckin' clowns to ride around Whoopin' niggas asses, scared to man up Handcuffs givin' niggas gashes on the wrist I used to lift my fist to fight the power with Older homie told me in his day the pigs was plantin' bricks In the trunks of nigga's Chevrolets them traffic stops and shit Raidin' homes without a warrant Shoot him first without a warning And they expect respect and non-violence I refuse the right to be silent Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Nigga freeze, put your hands in the air LBPD, no they ain't 'bout shit LAPD, no they ain't 'bout shit LASD, no they ain't 'bout shit Ridin' 'round these streets givin' out full clips LBPD, no they ain't 'bout shit LAPD, no they ain't 'bout shit LASD, no they ain't 'bout shit Ridin' 'round these streets givin' out full clips Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Put your hands in the air Put your hands in the air 'Igga freeze"
Art of Peer Pressure,Kendrick Lamar,Racism,"Now I can't pledge allegiance to your flag Cause I can't find no reconciliation with your past When there was nothing equal for my people in your math You forced us in the ghetto and then you took our dads The belly of the beast, these streets are demons' abs I'm telling you that setup in them sit-ups is so sad The system is a slab, corruption is the swinger Sitting high riding dirty, drag racing into danger And it's so clean, pine trees smelling good With work off in the trunk and niggas in the hood So I can't shed blood on any battlefield of yours I pray the ugly truth comes and shatters your decor And as it all falls down in tatters on the floor I shed tears, I don't know what really matters anymore Cause I don't know what really matters anymore Man it ain't mean, the strangest thing you've ever seen Oh, would you look at how they swing, would you look at how they swing? They ain't dead though, no, I didn't die y'all I cut myself down, and I admire my fall, into grace Now as I wander through the city going mad I see the fruits of planting evidence instead of grass A swindled generation with no patience, full of swag Man, they so impatient with the stations that they have As long as they look good when they be doing bad Then the separation from the truth is getting vast, fast Be a slave at first or free at last Double-edged choices make a nigga wanna pass Double-headed voices from the eagle on the staff The pyramid where eyes will split the spirited in half Divided over money, delighted by the dummying Down of the importance of crowns we'll never have That's why my sounds and sermons are so full of wrath Baptize your mind, let your brain take a bath Swim inside the river get delivered from the craft Of the witches in this business that be living off your sad Hating on your happiness you hit 'em off with laughs Smile 'til they surrender, then you kill 'em off with glad Hello evil, I'm back Man it ain't mean, the strangest thing you've ever seen Oh, would you look at how they swing, would you look at how they swing? They ain't dead though, no, I didn't die y'all I cut myself down, and I admire my fall, into grace"
Just to Get By,Talib Kweli,Racism,"Yeah...my Lord...yeah We sell, crack to our own out the back of our homes We smell the musk at the dusk in the crack of the dawn We go through ""Epidodes II, "" like ""Attack of the Clones"" Work 'til we break our back and you hear the crack of the bone To get by...just to get by Just to get by, just to get by We commute to computers Spirits stay mute while you eagles spread rumors We survivalists, turned to consumers To get by...just to get by Just to get by, just to get by Ask Him why some people got to live in a trailer, cuss like asailor I paint a picture with the pen like Norman Mailer Me and Willa raised three daughters all by herself, with no help I think about a struggle and I find the strength in myself These words, melt in my mouth They hot, like the jail cell in the South Before my nigga Core bailed me out To get by.. just to get by Just to get by, just to get by We do or die like Bed-Stuy through the red sky with the window of the red eye Let the lead fly, some G. Rap shit, ""Livin' to Let Die"" This morning, I woke up Feeling brand new and I jumped up Feeling my highs, and my lows In my soul, and my goals Just to stop smokin', and stop drinkin' And I've been thinkin' - I've got my reasons Just to get (by), just to get (by) Just to get (by), just to get (by) We keeping it gangster say ""fo shizzle"", ""fo sheezy"" and ""stayincrunk"" Its easy to pull a breezy, smoke trees, and we stay drunk Yo, I activism - attackin' the system, the blacks and latins in prison Numbers of prison they victim black in the vision Shit and all they got is rappin' to listen to I let them know we missin' you, the love is unconditional Even when the condition is critical, when the livin is miserable Your position is pivotal, I ain't bullshittin' you Now, why would I lie? Just to get by? Just to get by, we get fly The TV got us reachin' for stars Not the ones between Venus and Mars, the ones that be readin' for parts Some people get breast enhancements and penis enlargers Saturday sinners Sunday morning at the feet of the Father They need somethin' to rely on, we get high on all types of drug When, all you really need is love To get by...just to get by Just to get by, just to get by Our parents sing like John Lennon, ""Imagine all the people watch"" We rock like Paul McCartney from now until the last Beatles drop Some people cry, and some people try Just to get by, for a piece of the pie You love to eat and get high We deceive when we lie, and we keepin' it fly When, the people decide, to keep a disguise Can't see they eyes, see the evil inside But there's people you find Strong or feeble in mind, I stay readin' the signs"
Dont Shoot,The Game,Racism,"Our Lord, grant us good in this world And good in the life, to come keep us safe from the torment of the fire As we keep our hands up high and scream for justice Ferguson, rest in peace Mike Brown And all the young soldiers out there God help us Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Seen the pictures, feel the pain, scandalous how they murder son Tired of them killing us, I'm on my way to Ferguson Talked to TIP, I talked to Diddy, them my brothers walking with me Mothers crying ""Stop the riots"", we ain't got to chalk the city I seen Cole out there, felt I should go out there They left that boy for hours in the cold out there They killin' teens, they killin' dreams (It's murder) Yo, come on we gotta stick together, we all we got Police taking shots and I ain't talkin' bout CÎROC I'm talking bout Emmett Till, I'm talking bout Ezell Ford I'm talking bout Sean Bell, they never go to jail for Trayvon over Skittles, Mike Brown Cigarillos History keeps repeating itself, like a Biggie instrumental America's a glass house and my revenge is mental Rather use my brain than throw a cocktail through a window I got the keys to the city still we left in the cold Hands in the sky, still was left in the road Ribbon in the sky, Michael Brown, another soul Stole by the system, black men we pay the toll The price is your life, Uncle Sam want a slice Black dress code now we looting in the night Now we throwing Molotovs in this holocaust And I know they hate to hear me screaming, 'I'm a Boss!' Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Tired of the okie-dokie, lying you Pinocchio Driving while black, tell me, where am I supposed to go? Gun shots hit the car, now I got the holy ghost If excessive force was a drug, then they overdosed Got us tryna protest, it's a slow process Heard it's a lot of rotten eggs in the crow's nest People praying on they feet, police holding on they heat Turned on the news and seen a tank rolling down the street Yeah, I seen a lot of ice water tossed, and I know it's for a cause My only question is, what we doing for the loss Of Mike Brown? 'Cause right now, I challenge you to use your talents to Speak up, and don't you ever let them silence you 'Cause action speaks louder than words, that's what I heard Shot down with his hands up, that's what occurred Man that sound absurd Matter fact to me that sound like murder We want justice Ay yo Game, I had a crib out there, I used to live out there So I know how niggas feel out there People stressing, protesting, unity is a blessing So it's time we come together, use our voice as a weapon I am Michael Brown, 'cause I stand for what he stand for News say we're looting, paint pictures like we some animals On my NWA CMG Hollerin' ""Rest in peace Eazy and fuck the police"" Heard another brother slain up in St. Louis Sure the mother feel the pain, but what you famous doing? I'm sure the general population trying to be more active But when the light finally catches you, you ice challenge Okay, and I support the ALS just like the rest of them But you have yet to pay your debt, so you just flexing then 'Cause everybody care for a minute, then stop People only there for a minute, then stop And what's the point of giving if you ain't giving your all? We never getting ahead, might as well give up your heart Where does it end? I got my hands up, what else am I supposed to do? (Rest in peace to Mike Brown) Where does it end? (And all the other fallen soldiers) Tell me, where's the love for everything we're going through? Mercy, mercy, mercy, mercy me Hope that God can save us Mercy, mercy, mercy, mercy me (As we lead in peace) Martin Luther King had a dream But they ain't respecting Jesse up out here And they don't really respect Obama out here Lights out, go dark it's like a nightmare How the fuck you play the game, but they ain't playing fair It's going down, Armageddon right here Right now, not on TV, but right here Put your flags in the air if you don't really care (Wave it) We need justice, yeah, we need justice here I heard he surrendered but we all saw how they did him Television broadcasts, a confused country I'm a resident of a nation that don't want me What's done is done, the town erupts in fury And I'm already hearing 'bout this lopsided jury Three faces like his, the rest another story A lot of motherfuckers need to act more worried The revolution has been televised If I sit here and do don't do nothing, homie, that's genocide Fuck that, we have arrived And who cares who ain't on our side 'cause we on our own How do you preach peace to a family that just lost they own? My brodie Game just banged my line like ""We gotta do something"" All that marching and that peace ain't gonna fucking do nothing Fuck it, my moms, sorry, I'm ready to rage The police done let the animals out of the cage, oh lord it's Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Stand up"
Murder To Excellence,"Kanye West, Jay-Z",Racism,"The paper read ""Murder, black-on-black murder"" Paper read ""Murder, black-on-black murder"" again This is to the memory of Danroy Henry Too much enemy fire to catch a friendly Strays from the same shade nigga, we on the same team Giving you respect, I expect the same thing All-black everything, nigga you know my fresh code I'm out here fighting for you, don't increase my stress load Niggas watching the throne, very happy to be you Power to the people, when you see me, see you And I'm from the murder capital where they murder for capital Heard about at least three killings this afternoon Looking at the news like, ""Damn I was just with him after school"" No shop class but half the school got a tool And a ""I could die any day""-type attitude Plus his little brother got shot reppin' his avenue It's time for us to stop and redefine black power Forty one souls murdered in fifty hours The paper read ""Murder, black-on-black murder"" The paper read ""Murder, black-on-black murder"" again, murder again Is it genocide? 'Cause I can still hear his mama cries Know the family traumatized Shots left holes in his face 'bout piranha-sized The old pastor closed the cold casket And said the church ain't got enough room for all the tombs It's a war going on outside we ain't safe from I feel the pain in my city wherever I go Three hundred fourteen soldiers died in Iraq Five hundred and nine died in Chicago I arrived on the day Fred Hampton died Uh, real niggas just multiply And they say by twenty-one I was supposed to die So I'm out here celebrating my post-demise If you put crabs in a barrel to insure your survival You're gon' end up pulling down niggas that look just like you What up, Blood? What up, cuz? It's all black, I love us The paper read ""Murder, black-on-black murder"" The paper read ""Murder, black-on-black murder"" again, ""Black-on black murder"" again, ""black-on-black murder"" again It's a celebration of black excellence, black tie, black Maybachs Black excellence, opulence, decadence Tuxes next to the president, I'm present I dress in Dries and other boutique stores in Paris In sheepskin coats, I silence the lambs Do you know who I am, Clarice? No cheap cologne whenever I ""shh-shh"" Success never smelled so sweet I stink of success, the new black elite They say my Black Card bears the mark of the beast I repeat, my religion is the beat My verse is like church, my Jesus piece Now please, domino, domino Only spot a few blacks the higher I go What's up to Will? Shout out to O That ain't enough, we gonna need a million more ""Kick in the door"" Biggie flow I'm all dressed up with nowhere to go Yeah it's all messed up when it's nowhere to go So we won't take the time out 'til we reach the T-O-P From parolees to hold G's, sold keys, low keys We like the promised land of the OG's In the past if you picture events like a black tie What the last thing you expect to see? Black guys What's the life expectancy for black guys? The system's working effectively, that's why! I'll be a real man, take care of your son Every problem you had before this day is now done New crib, watch a movie 'cause ain't nothin' on the news but the blues Hit the mall, pick up some Gucci, now ain't nothing new but your shoes Sunday morning, praise the Lord You're the girl that Jesus had been saving me for So let's savor this moment and take it to the floor Black excellence, truly yours"
Glory,"John Legend, Common",Racism,"One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Hands to the Heavens, no man, no weapon Formed against, yes glory is destined Every day women and men become legends Sins that go against our skin become blessings The movement is a rhythm to us Freedom is like religion to us Justice is juxtapositionin' us Justice for all just ain't specific enough One son died, his spirit is revisitin' us Truant livin' livin' in us, resistance is us That's why Rosa sat on the bus That's why we walk through Ferguson with our hands up When it go down we woman and man up They say, ""Stay down"", and we stand up Shots, we on the ground, the camera panned up King pointed to the mountain top and we ran up One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Now the war is not over, victory isn't won And we'll fight on to the finish, then when it's all done We'll cry glory, oh glory (Glory, glory) Oh (Glory, glory) We'll cry glory, oh glory (Glory, glory) Oh (Glory, glory) Selma's now for every man, woman and child Even Jesus got his crown in front of a crowd They marched with the torch, we gon' run with it now Never look back, we done gone hundreds of miles From dark roads he rose, to become a hero Facin' the league of justice, his power was the people Enemy is lethal, a king became regal Saw the face of Jim Crow under a bald eagle The biggest weapon is to stay peaceful We sing, our music is the cuts that we bleed through Somewhere in the dream we had an epiphany Now we right the wrongs in history No one can win the war individually It takes the wisdom of the elders and young people's energy Welcome to the story we call victory The comin' of the Lord, my eyes have seen the glory One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Oh glory (Glory, glory) Hey (Glory, glory) When the war is won, when it's all said and done We'll cry glory (Glory, glory) Oh (Glory, glory)"
Be Free,J Cole,Racism,"And I'm in denial And it don't take no x-ray to see right through my smile I know, I be on the go And there ain't no drink out there that can numb my soul Oh no All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free Can you tell me why Every time I step outside I see my niggas die I'm lettin' you know That there ain't no gun they make that can kill my soul Oh no All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free So now it was like the officer is pulling him inside the car and he's Trying to pull away. At no time the officer said that he was going to do anything until he Pulled out his weapon. His weapon was drawn and he said, ""I'll shoot you"" or, ""I'm going to shoot"" and in the same moment, The first shot went off. We looked down and he was shot and there was Blood coming from him. Then we took off running Are we all alone, fighting on our own Please give me a chance, I don't wanna dance Somethings got me down, I will stand my ground Don't just stand around, don't just stand around As we took off running I ducked and hid for my life, Because I was fearing for my life. I hid behind the first car I saw. My friend, he kept running, And he told me to keep running because he feared for me too. So as he was running the officer was trying to get out of the car, And once he got out the car he pursued my friend but his weapon was Drawn. Now he didn't see any weapon drawn at him or anything like That, us going for no weapon. His weapon was already drawn when he got out the car. He shot again, And once my friend felt that shot, He turned around and put his hands in the air, And started to get down, But the officer still approached with his weapon Drawn and he fired 7 more shots and my friend died All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free"
